nombre_brevets,inventor
Yu Okumura,1
Sabine Gubatz,1
Marina Le Pape,1
Armelle BERGE,1
Loïc Darcel,1
Reinhard Boller,1
Julie Champion,1
Arnaud HEINRICH,1
Denis CASSAN,1
Andrea Biondi,1
Chantal PEROT,1
Yukihiro Nakamura,1
Julien Tesse,1
Helene Boze,1
Marine TRUCHET,1
Olivier Sorg,1
Anthony DARRIEUTORT,1
Yolène FERREIRA,1
Yoshihiro Ueda,1
Marco Ahler,1
Said Kamal,1
Pierre DELARBOULAS,1
Antoine Daudin,1
Abdelmadjid Djemai,1
Seiji Hata,1
Teresa TATEO,1
Sandrine THEROUIN-KOELY,1
Philippe Le Pape,1
Sven HOLTZINGER,1
Lucía CHEUNG YAU,1
Rachel Chabert,1
Nicolas Ugolin,1
Giles Hall,1
Jean-Luc Dezileaux,1
Frederic Charles,1
Thierry Garcia,1
Antonin VAN EXEM,1
Flore Lacrouts-Cazenave,1
Luc Verschuere,1
Olaf Haeusler,1
Micael Gustafsson,1
Alain-Michel Boudet,1
Christelle MARTINEZ-BARBREAU,1
Lilas DEVILLE,1
Moine Fabien Le,1
Jacqueline Goussard,1
Louis Siguier,1
Corinne LEVEQUE,1
Thibault Marchand,1
Kazuhito c/o NIRASAKI Plant Mitsui Yokomori,1
Per Eriksson,1
Simon Gaude,1
Vesa Koskela,1
Isabelle Quesse,1
Shu-ye JIANG,1
James Pflueger,1
James L Copeland,1
Roy F Johnson,1
Rossano ZANARDI,1
Marie-Dominique BERNADET,1
Jean-Philippe Meunier,1
Francois Coulmeau,1
Sandrine GICQUEL,1
Patrick Broyer,1
José Balbuena,1
Helena GONZALEZ PENAS,1
Christophe Minot,1
Nicolas COLOVRET,1
François Tardif,1
Zhiyun Wu,1
Damien PIGER,1
Mathieu Lechaudel,1
Sylvaine Crapart,1
Gerhard Olbert,1
Michel Beckert,1
Michel Mieulet,1
Jeffrey Glen Sheehan,1
David Pradeilles,1
Jean-Christophe Grimard,1
Jordane GRENIER,1
Gaëlle CHALMETON,1
Sophie LAVOINE,1
Jean Louis Duron,1
Kurt Edsinger,1
梁怀均,1
Jean-François Palmier,1
Bruce Alan Coers,1
Ingrid MURRIETA PAZOS,1
Jon Regrut,1
Jacques REUSSARD,1
Maman Abdou,1
Nakane Shigeru,1
Shigeaki Okuyama,1
Segurota Aitor Gogorza,1
Zanatta Cinthia Fernanda,1
Antoine Nogier,1
Didier Guedon,1
Jean-Francois Mainguet,1
Momoko Shimizu,1
Marie-Claude Mauro,1
Gilles Duvin,1
Pasquale Gerard Di,1
Erkan KARAKAYA,1
Thierry Oliveros,1
Medina Sandra Patricia Hurtado,1
Manuel Alejandro TONG ZHANG,1
Philippe Ungerer,1
David Fofi,1
Jérôme SUSSERRE,1
Marie-Cecile De Chezelles,1
Alexis Perea,1
Martin Keen,1
Grégoire PASSAULT,1
Vincent Lorphelin,1
Hanrot Monique Zeches,1
Nathalie Derain,1
Benjamin M Smith,1
Pierre Sacareau,1
